id,topic1_id,topic1_score,topic2_id,topic2_score,topic3_id,topic3_score,topic4_id,topic4_score,topic5_id,topic5_score,topic6_id,topic6_score,topic7_id,topic7_score,topic8_id,topic8_score,topic9_id,topic9_score,topic10_id,topic10_score
i260ff82302,10335,0.46344056725502014,10418,0.052324328571558,12769,0.027395274490118027,10552,0.018656857311725616,13110,0.015250601805746555,12664,0.010822365060448647,12020,0.00938241183757782,13123,0.008291714824736118,10619,0.008138654753565788,11369,0.007567103952169418
if21e786245,10290,0.5414949655532837,10745,0.2506825625896454,10673,0.02012665383517742,11184,0.013943400233983994,12715,0.013028857298195362,13381,0.005799633916467428,10924,0.005154725629836321,13533,0.004490949213504791,12075,0.004474550019949675,13769,0.0044346279464662075
i778bc13452,11316,0.9835292100906372,10038,0.006061069667339325,12499,0.0029409374110400677,13791,0.001783283893018961,11381,0.0008216921123676002,11688,0.00033686048118397593,12223,0.00024904191377572715,13385,0.00024584276252426207,11155,0.00014725989603903145,13114,0.00012878014240413904
if3825e4994,13934,0.4586983621120453,11862,0.10723716020584106,10319,0.06107060983777046,12896,0.049378156661987305,10367,0.032232075929641724,13396,0.02506841905415058,10889,0.014842760749161243,13838,0.011285349726676941,10439,0.009316978976130486,11789,0.007346880156546831
i3b5c609055,12475,0.9972373247146606,10135,0.0006121701444499195,12093,0.00020406361727509648,12436,0.00016412224795203656,10439,0.00011079573596362025,12813,5.142588270246051e-05,11760,4.3622527300613e-05,10266,4.023703877464868e-05,10487,3.8029993447707966e-05,14391,3.5698863939614967e-05
iebbfa20717,10451,0.9191414713859558,12003,0.005449275951832533,10004,0.0037901243194937706,12713,0.0030884984880685806,10005,0.0021063608583062887,12870,0.0019692820496857166,12091,0.0019407157087698579,12618,0.0017729810206219554,11470,0.0014888393925502896,12896,0.0014806515537202358
i48e0d9c170,10727,0.346811980009079,10924,0.2236979454755783,10193,0.12558937072753906,10816,0.06442506611347198,10821,0.0606713704764843,11366,0.011267398484051228,10926,0.011260835453867912,11778,0.009584675543010235,14353,0.008476130664348602,10422,0.007865454070270061
i886bedb826,10598,0.7426652312278748,10217,0.006389852613210678,13434,0.00556325213983655,10882,0.004563093185424805,11021,0.004492199048399925,11112,0.004365893080830574,14093,0.0043188100680708885,11217,0.00398098211735487,11620,0.003803430125117302,12207,0.0037255457136780024
icb89c61642,11645,0.12833167612552643,13064,0.11636435985565186,14101,0.06818432360887527,12143,0.02813979983329773,12693,0.027498090639710426,10216,0.024702217429876328,13586,0.020335106179118156,14450,0.0190958883613348,14242,0.01695234701037407,13788,0.015058501623570919
i9bc1d60ab4,13430,0.996656060218811,10066,0.0007588802836835384,10351,0.00037569343112409115,10528,0.00019577174680307508,12964,0.00016293275984935462,12915,9.822247375268489e-05,12267,6.717945507261902e-05,11721,6.078321530367248e-05,10394,5.7406312407692894e-05,10027,5.6319440773222595e-05
ie6af519302,10146,0.8404136896133423,10428,0.014030778780579567,10981,0.005917121656239033,10307,0.004813660401850939,13544,0.004773814231157303,10668,0.003869229694828391,14065,0.0028269970789551735,14072,0.002339225960895419,13309,0.002126478822901845,10625,0.0015777410008013248
i570ac9a757,11842,0.9691585302352905,10958,0.008264565840363503,11255,0.003957218024879694,11202,0.0007782172760926187,12163,0.0007179485401138663,12274,0.0005453450721688569,11401,0.0005406158161349595,10822,0.000503484217915684,12270,0.0004893397563137114,11382,0.00041925700497813523
i8e0ab4bc55,12728,0.776391327381134,11077,0.07190858572721481,10174,0.04030034318566322,10960,0.014500197023153305,13294,0.0071411035023629665,10152,0.004195904824882746,10487,0.0036565656773746014,12691,0.0036028260365128517,11505,0.002926612738519907,12319,0.0028844412881881
i62fc85ff05,13301,0.7152857184410095,11391,0.030623972415924072,12397,0.02581816539168358,13245,0.022593088448047638,14148,0.009611195884644985,13666,0.008574698120355606,13264,0.007887977175414562,13351,0.0064562405459582806,12966,0.005914891604334116,14366,0.004380133002996445
i271e131525,13336,0.2235468029975891,11507,0.17080369591712952,13150,0.032292284071445465,10718,0.029717881232500076,14142,0.021671639755368233,12616,0.0207745973020792,13445,0.018346987664699554,14441,0.017416642978787422,14013,0.012449261732399464,13784,0.012180826626718044
i6c51468587,10049,0.9451262354850769,10382,0.01228658389300108,10037,0.005918985232710838,10090,0.00502890907227993,10591,0.004977630451321602,13104,0.004402393475174904,10657,0.0032577947713434696,10886,0.002944668522104621,10607,0.0020434039179235697,12044,0.001442592591047287
i7495a293f8,11237,0.23496082425117493,10473,0.0801495611667633,10014,0.07949846237897873,12729,0.052181728184223175,12660,0.04416130855679512,11760,0.03633462265133858,11268,0.027229521423578262,10184,0.02442028373479843,12093,0.02400539256632328,10076,0.023433413356542587
ifdf28cedd9,10991,0.3172230124473572,10108,0.0683121308684349,10646,0.05539063736796379,13825,0.0498451367020607,13387,0.04220433160662651,11031,0.02857559360563755,13357,0.022408032789826393,11461,0.017182882875204086,11042,0.01552779320627451,10070,0.014229393564164639
if11a1793d3,12975,0.1947859525680542,10027,0.1815209984779358,10445,0.054616592824459076,10261,0.03801002725958824,12955,0.02519291080534458,13984,0.024130405858159065,11618,0.022951118648052216,11072,0.02243877202272415,10394,0.01660747267305851,12187,0.015263552777469158
i9eb27afa24,10732,0.6124019026756287,12760,0.17876262962818146,10834,0.013598693534731865,13965,0.011765534058213234,11127,0.010646318085491657,14158,0.009196730330586433,14128,0.009136551059782505,13493,0.008051901124417782,13869,0.004708613269031048,12959,0.004466004204005003
ie7c15ebee5,10832,0.8793912529945374,10748,0.026777759194374084,12421,0.008046170696616173,11967,0.007078961934894323,10960,0.006446771789342165,10529,0.006073330529034138,12604,0.0036924402229487896,10754,0.003288639010861516,13533,0.0021641666535288095,11839,0.0019357411656528711
id9ed2f6f3d,10358,0.947402834892273,11176,0.009844292886555195,10124,0.0055446014739573,10052,0.002660587662830949,10888,0.0021169190295040607,11216,0.0012302801478654146,12299,0.0011954378569498658,13123,0.0011775150196626782,10522,0.0008486925507895648,12386,0.000830290256999433
i44b570567e,10639,0.4014262855052948,12127,0.10533006489276886,10933,0.10204929858446121,12203,0.0709485113620758,10679,0.06287992000579834,10772,0.05621402710676193,12490,0.044220585376024246,10715,0.02594638243317604,10126,0.014204840175807476,10444,0.008115106262266636
i2d20a7475b,12509,0.4511362612247467,14102,0.16350263357162476,13408,0.0327557735145092,10019,0.026676006615161896,14373,0.019030367955565453,12675,0.015305088832974434,13972,0.014622572809457779,14362,0.008397982455790043,13074,0.007775705307722092,14030,0.006891843397170305
i558fa1a284,10182,0.1519688367843628,10485,0.1389254629611969,11118,0.11880364269018173,10574,0.09600096940994263,10043,0.0747540071606636,10677,0.04443870484828949,10327,0.033186160027980804,10585,0.03045722283422947,12892,0.0173063725233078,11040,0.014953096397221088
i1a306e434e,11259,0.599536657333374,10439,0.04869725927710533,12896,0.043288372457027435,13009,0.03391915559768677,14323,0.03052935190498829,13899,0.02011789195239544,12643,0.01872141845524311,12365,0.015286432579159737,13396,0.01467486284673214,12093,0.01025755237787962
i1d18dc8476,10418,0.6305448412895203,10279,0.18190161883831024,13206,0.02015535533428192,12237,0.019051995128393173,10365,0.014790013432502747,11174,0.011077926494181156,13289,0.009055260568857193,11815,0.0068788835778832436,14106,0.0032978516537696123,11670,0.0032613426446914673
ie4f88c2ccb,10744,0.8279262781143188,12917,0.033751294016838074,13811,0.012649036943912506,13126,0.011563985608518124,11323,0.011281486600637436,10818,0.011166728101670742,13884,0.007649920415133238,11960,0.007244657259434462,10026,0.007155708037316799,10463,0.005026465747505426
i95ab010489,10026,0.5039277672767639,12917,0.1181439533829689,14311,0.0910295844078064,12450,0.03393494710326195,13126,0.03386899083852768,13436,0.019107496365904808,10095,0.01549498550593853,13884,0.012450914829969406,13811,0.007946891710162163,14111,0.00726214237511158
i01ccc10ca1,10027,0.12829966843128204,13434,0.04064612835645676,11396,0.0400761179625988,10528,0.029027113690972328,13522,0.026385026052594185,14065,0.02545619197189808,12647,0.023501459509134293,13533,0.02281036227941513,14135,0.014085580594837666,10793,0.013438023626804352
ib9bfe8ef77,14101,0.1254148781299591,13133,0.1253121793270111,13342,0.06562091410160065,12444,0.041164033114910126,12650,0.03638163208961487,11212,0.02809816226363182,14381,0.02620013616979122,12076,0.025938691571354866,12981,0.022633882239460945,14002,0.015314953401684761
i3638dcc513,10119,0.2896643877029419,14296,0.03324379026889801,13530,0.029244491830468178,12013,0.02834302932024002,13490,0.024817585945129395,11810,0.02470042183995247,12724,0.021645570173859596,11755,0.02058826945722103,12248,0.020533345639705658,13132,0.018622402101755142
i1767577f2a,10789,0.7209681868553162,10914,0.10822214186191559,10470,0.03747076168656349,10803,0.020933551713824272,12031,0.013610736466944218,11398,0.013354508206248283,10888,0.009091216139495373,10444,0.0054658446460962296,11349,0.004381362348794937,11285,0.003985260147601366
i972eb13408,12585,0.28949546813964844,13912,0.049421049654483795,11648,0.04592249169945717,13727,0.03785880282521248,13019,0.03752426430583,13103,0.03052423894405365,14343,0.01720007322728634,14016,0.017132673412561417,13379,0.015994861721992493,14395,0.01547300349920988
