id,topic1_id,topic1_score,topic2_id,topic2_score,topic3_id,topic3_score,topic4_id,topic4_score,topic5_id,topic5_score,topic6_id,topic6_score,topic7_id,topic7_score,topic8_id,topic8_score,topic9_id,topic9_score,topic10_id,topic10_score
i3638dcc513,10119,0.28709647059440613,13530,0.04116576910018921,14296,0.03286641463637352,11810,0.024689089506864548,12013,0.022657450288534164,11755,0.018742496147751808,10439,0.017858844250440598,12724,0.01712176203727722,14329,0.015673844143748283,12248,0.013573658652603626
i1767577f2a,10789,0.7655813694000244,10914,0.10390880703926086,10470,0.02709638513624668,11398,0.013377147726714611,10803,0.012185619212687016,12031,0.009419990703463554,10888,0.008110525086522102,11800,0.005204426124691963,10444,0.0051323603838682175,11285,0.003190024057403207
i972eb13408,12585,0.2636848986148834,11648,0.06439656019210815,13103,0.040972739458084106,13912,0.0408441536128521,13727,0.03411244601011276,13019,0.031829819083213806,14395,0.019545836374163628,14343,0.0140549810603261,14016,0.013744451105594635,13379,0.012712327763438225
i9ecddf58f6,10794,0.2219691425561905,11823,0.08307886123657227,14473,0.032799672335386276,13949,0.021030671894550323,14160,0.01882205158472061,12550,0.016287170350551605,12248,0.016225792467594147,11862,0.016072774305939674,13894,0.014383352361619473,13742,0.01261681504547596
i5ba7718412,11256,0.49888551235198975,13520,0.022548429667949677,13948,0.019878871738910675,11876,0.013362249359488487,13632,0.012861966155469418,13879,0.010315082967281342,14408,0.010284911841154099,12312,0.008207173086702824,13646,0.007533836644142866,14022,0.006920380052179098
i59dff29fd7,12500,0.2956930994987488,10008,0.15825998783111572,11466,0.02287491224706173,13853,0.014930910430848598,13895,0.013763029128313065,10130,0.011327444575726986,14482,0.009349483996629715,12345,0.0071081859059631824,13611,0.006925025023519993,14240,0.006706807296723127
ica615d10dd,12752,0.11247844249010086,11168,0.09849917888641357,14334,0.04154972732067108,14429,0.04025597870349884,12263,0.02573988027870655,13609,0.018783271312713623,12985,0.01673141121864319,13000,0.015406445600092411,13040,0.013029597699642181,13900,0.011871234513819218
i7d6c78b048,10467,0.3523693382740021,11902,0.10932415723800659,13283,0.052354853600263596,11577,0.03730010613799095,11519,0.03499943017959595,11040,0.03494440019130707,11820,0.0251933541148901,11516,0.013991382904350758,10470,0.013764302246272564,12848,0.010428367182612419
i377684369d,11404,0.23674552142620087,11259,0.10737627744674683,11781,0.06742602586746216,12093,0.045536577701568604,10969,0.034436825662851334,10439,0.024758633226156235,11268,0.019238833338022232,10435,0.01526658795773983,11311,0.015160775743424892,12896,0.013790805824100971
icdd3263160,11755,0.7545108199119568,13132,0.03614857420325279,12248,0.018695292994379997,14044,0.012117451056838036,13490,0.010061346925795078,11823,0.005072901025414467,13040,0.0042672730050981045,11862,0.0042169345542788506,12724,0.003271742956712842,13525,0.0031749613117426634
i19f78599f8,11687,0.24954521656036377,10040,0.10855365544557571,12125,0.07702820003032684,13715,0.058934327214956284,12719,0.054487936198711395,11615,0.031246906146407127,10709,0.025299545377492905,14214,0.02270054630935192,11192,0.019603725522756577,11133,0.01796903647482395
i0e0a9b0caf,11624,0.38580772280693054,11311,0.18609531223773956,10779,0.0924278050661087,12091,0.05492018535733223,11634,0.028606651350855827,10669,0.026720106601715088,10236,0.024271160364151,13490,0.02057492919266224,10330,0.020152492448687553,13899,0.0105454595759511
idd009b11e7,11407,0.8212604522705078,11190,0.022946543991565704,11915,0.011114534921944141,10412,0.010286875069141388,12776,0.00913954246789217,12452,0.005750513169914484,12628,0.004868740681558847,10729,0.0045276000164449215,12080,0.003917225636541843,10491,0.003911042120307684
i0b1ec4f8b2,10744,0.8753024339675903,13811,0.01896829716861248,12917,0.015079035423696041,13126,0.0135435089468956,11960,0.009491825476288795,10463,0.0035084427800029516,11323,0.003428724128752947,10026,0.0026704685296863317,10818,0.0025474000722169876,13104,0.002129207132384181
i340783b06a,10009,0.07855740189552307,10676,0.026690009981393814,10489,0.017900744453072548,11304,0.015426382422447205,10706,0.01496761292219162,13077,0.014650080353021622,13533,0.01420662458986044,10086,0.013838198035955429,11001,0.013266033492982388,10529,0.012317330576479435
i1c69419477,10124,0.9443293809890747,10358,0.048426005989313126,10543,0.002313141478225589,11176,0.0007087003323249519,11885,0.0006288426811806858,10183,0.0002634800039231777,10844,0.00023810338461771607,13123,0.0002020460378844291,11829,0.00014904222916811705,11359,0.00013686851889360696
i9484724892,10135,0.9804932475090027,11075,0.0031678532250225544,10878,0.0027403696440160275,10423,0.002233024686574936,11691,0.0014261649921536446,12132,0.001248109620064497,10174,0.001009926083497703,11750,0.0005749596748501062,11436,0.0005496814264915884,12361,0.0005380137590691447
i95069cd9a3,10298,0.9192429780960083,11904,0.00988885946571827,12315,0.009161526337265968,10698,0.008522202260792255,11980,0.007159057073295116,11645,0.005919212009757757,11942,0.003480232786387205,12783,0.0029278481379151344,12325,0.0027554810512810946,10632,0.0026196797844022512
